Date,Target,Volume,MA_20,MA_50,RSI,Volatility_30D,Month,DayOfWeek
2015-02-12,0,1056800.0,32.772638130187985,31.38518611907959,54.076317190948146,0.020194998900659157,2.0,2.0
2015-02-13,0,1305700.0,33.00259981155396,31.498345336914063,54.88953872869332,0.020221305528086524,2.0,3.0
2015-02-17,0,709600.0,33.14955053329468,31.599907150268553,47.855778307241756,0.020179701745799177,2.0,4.0
2015-02-18,0,744200.0,33.318163585662845,31.68452983856201,47.11484477575477,0.018688211417440346,2.0,1.0
2015-02-19,0,824600.0,33.44865684509277,31.706585578918457,54.06679033314051,0.017250365848008164,2.0,2.0
2015-02-20,0,969800.0,33.50920448303223,31.746037368774413,54.131968428229094,0.017104594887529852,2.0,3.0
2015-02-23,0,1018100.0,33.53332748413086,31.812836837768554,55.505966487075796,0.017049738777629053,2.0,4.0
2015-02-24,0,1192700.0,33.533016777038576,31.86781021118164,43.82004613549782,0.016999967125361216,2.0,0.0
2015-02-25,0,1379000.0,33.49039878845215,31.929520263671876,34.74218118881035,0.016933910569241213,2.0,1.0
2015-02-26,1,1543900.0,33.40431709289551,31.97524917602539,30.650457876193045,0.016874673098249863,2.0,2.0
2015-02-27,0,1615600.0,33.30954208374023,32.01566421508789,22.973363440754724,0.017708757115692437,2.0,3.0
2015-03-02,0,3095200.0,33.228378486633304,32.05893093109131,33.43837686108117,0.0177414294909452,2.0,4.0
2015-03-03,0,844400.0,33.14884166717529,32.10198425292969,35.68523749611177,0.015523534883504726,3.0,0.0
2015-03-04,1,1296200.0,33.03522357940674,32.135402565002444,30.737268202739784,0.015428363839348107,3.0,1.0
2015-03-05,1,861800.0,32.89639949798584,32.15528106689453,21.07245699284951,0.01501066871580109,3.0,2.0
2015-03-06,0,963600.0,32.78119249343872,32.16570072174072,23.019566869593135,0.01250536229619015,3.0,3.0
2015-03-09,0,1490900.0,32.68374376296997,32.180198669433594,34.45012469973118,0.011966086089370638,3.0,4.0
2015-03-10,1,1205700.0,32.61584548950195,32.179724044799805,29.08111597898808,0.012112901922370975,3.0,0.0
2015-03-11,1,950000.0,32.54077777862549,32.170547790527344,27.241299963878035,0.011996191085510454,3.0,1.0
2015-03-12,0,1258100.0,32.47042589187622,32.15947643280029,31.86151419407365,0.012123028656390806,3.0,2.0
2015-03-13,1,1586200.0,32.39966630935669,32.15689563751221,36.07688111041879,0.011973976646959603,3.0,3.0
2015-03-16,1,1280100.0,32.321559238433835,32.15497722625732,39.45851970320278,0.01199376597623923,3.0,4.0
2015-03-17,1,1535400.0,32.2684889793396,32.149963722229,46.0404106966242,0.012101435879889863,3.0,0.0
2015-03-18,0,1812900.0,32.25542554855347,32.18960418701172,61.369753898687584,0.012918108054759188,3.0,1.0
